time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,9.41145911927e-08,3.98281256977e-07,10.0043213564,0.000338493390977,6.28293352102,0.0,1.49533904095e-05,3.36907659462e-05,0.144037180293,0.0150401127306,-0.0142919587549,0.0,451.65021697886885,450.4963427516573,449.629072439071,450.8456065401104
0.12000000000000001,9.22494701757e-06,1.33992461405e-05,10.0167961756,0.000793212054211,6.28254659764,0.0,0.000351839839564,0.000479509910674,0.271767559484,-0.0147310070148,0.00585543816573,0.0,445.74539781339143,447.38862665417906,445.9396575206717,443.5015180455484
0.18,4.26953751573e-05,5.56272201154e-05,10.0368247366,6.28309122897,6.28268129632,0.0,0.0007368893736,0.000834575066743,0.395815725385,-0.0149027403573,-0.00618451217411,0.0,444.85112634074983,443.8642710556681,444.7703200260837,444.75636280095307
0.23999999999999996,9.68453792044e-05,0.000101614177711,10.0602612445,6.28262058473,6.28192843939,0.0,0.00111220093003,0.000642276814954,0.385404837967,0.00346263501375,-0.0299994438496,0.0,401.83487167808573,399.6705742418001,399.4281171344518,401.0993074931424
0.3,0.000202264726657,0.000127270381807,10.0899982358,6.28261656742,6.27998481072,0.0,0.00262533654363,0.000226562616617,0.60573664733,-0.00827481977926,-0.0376721412575,0.0,473.5861970578391,472.9954277775047,474.62401455242406,473.7224761706267
0.36000000000000004,0.000434744545492,0.000126827235885,10.1299028343,6.28209532595,6.27886565386,0.0,0.00528521386459,-0.000294584431213,0.724347807729,-0.00952548099342,0.004536615488,0.0,441.3672790669339,444.8364883743479,443.2772487340033,443.17459716862766
0.4200000000000001,0.000840431014101,8.42039256221e-05,10.1765773059,6.28153650133,6.2795824437,0.0,0.00818324817481,-0.00118434350719,0.831395842213,-0.00889359279339,0.0237044645956,0.0,438.40336715035835,439.9928231903658,440.1483180915604,440.20072439157883
0.48000000000000015,0.00140844743532,-2.73909763229e-05,10.2319784058,6.28064524962,6.28131265473,0.0,0.0105679980147,-0.00261217594506,1.01516258816,-0.0307587112235,0.0375115468635,0.0,463.21323032327945,464.2977925478973,463.97884123447903,462.2593258693392
0.5400000000000001,0.00206364678628,-0.00022656586131,10.2899353153,6.27856709955,0.000733757953851,0.0,0.0110941717224,-0.00416871788852,0.916819298737,-0.0438068495748,0.0532342563145,0.0,369.3395175318443,370.8882135317428,370.00275090837243,368.7152427840124
0.6000000000000002,0.00269830290406,-0.000594838998611,10.3507265826,6.27684915932,0.00382819895673,0.0,0.00969717410228,-0.0083457063219,1.10938727129,-0.00861079981507,0.0480290109711,0.0,467.12297786984954,466.7185092057761,464.1239262326722,466.87734626676956
0.6600000000000003,0.00318791011591,-0.00123159763856,10.4207816622,6.27635373461,0.00635831853861,0.0,0.00633706470765,-0.0129316436431,1.22566261153,-0.00755884486704,0.0266391104877,0.0,444.29810808886225,442.5420544843718,443.10051358185854,443.18709317490203
0.7200000000000003,0.00341856426308,-0.00216275154523,10.4991038457,6.2755786652,0.00817205397838,0.0,0.00116272922528,-0.0181702383347,1.38489561354,-0.0266832580958,0.036583340965,0.0,456.4089674241239,457.20212480695966,457.5721581911804,456.04739766590137
0.7800000000000004,0.00327981416929,-0.00344492827484,10.5888242708,6.27393471141,0.0105254400148,0.0,-0.00605839182939,-0.0247611212888,1.60549786262,-0.0288708377863,0.0440382422493,0.0,475.53526780139043,476.1065804382542,475.2607557941013,475.0929433443838
0.8400000000000004,0.00267412323923,-0.00514071605784,10.6894446648,6.27215431813,0.0135148562674,0.0,-0.0144361854622,-0.0319533257169,1.7483022035,-0.0313280234173,0.0594193150626,0.0,452.06024498959687,453.2993178605873,453.0338027513272,452.8359475860061
0.9000000000000005,0.00141413525726,-0.00737371831663,10.8044698992,6.27054214463,0.0169957763678,0.0,-0.0280386524387,-0.0427113387813,2.08531075303,-0.0191829566914,0.0550494520512,0.0,509.50823243733606,509.1976041757378,509.037784531839,509.9059899998029
0.9600000000000005,-0.000724074213915,-0.0102689190341,10.9378072523,6.26954632637,0.0204659085517,0.0,-0.043658681945,-0.0539249968126,2.35873493494,-0.0118708038234,0.0628928786414,0.0,492.8247796493112,493.40608650511734,492.37772061560156,492.91846472729014
1.0200000000000005,-0.00384397580589,-0.0138293035719,11.0852631888,6.26884176522,0.0249011509422,0.0,-0.0608138432932,-0.0648310428181,2.55603065162,-0.0114876753342,0.0898919737539,0.0,471.4963945208935,473.5813075934928,471.4247717178273,471.454505756709
1.0800000000000005,-0.00807904262824,-0.0180467630035,11.2435986292,6.26810608808,0.0301352074634,0.0,-0.0809392153432,-0.0758247771205,2.72142025751,-0.0138551944677,0.081308858161,0.0,463.09829899361057,462.42863341559683,464.09468554915964,463.90895462784925
1.1400000000000006,-0.0135925175402,-0.0229187408699,11.410390716,6.26726398524,0.0348767522005,0.0,-0.103337301541,-0.0866573850337,2.8380145414,-0.0143971894414,0.0740197220279,0.0,449.43407305185826,448.847814642206,449.4981712518905,449.45436149595037
1.2000000000000006,-0.0204239840544,-0.0284025695939,11.5806871699,6.26623629837,0.0392134745701,0.0,-0.124761446581,-0.0962187090207,2.83851490975,-0.0232414072703,0.0685493233105,0.0,412.9738211826033,412.4954801476163,412.4184942277924,411.63662238703137
1.2600000000000007,-0.0287940172964,-0.0345556511466,11.7554102385,6.26451883375,0.0442727472203,0.0,-0.154736054539,-0.109043345314,2.98518858941,-0.0424691213622,0.104861658728,0.0,457.9999747441796,460.8840941014503,459.7833190782936,458.2571905913073
